,Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Classification (C),Classification (C),Quantification (Q),Quantification (Q)
,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,NMAE,NMAE,NMAE,NMAE
,Crop Type,Crop Type,Disease Type,Disease Type,Pest Type,Pest Type,Disease Stage,Disease Stage,Leaf Health,Pest Count,Disease Quantification
,Durum Wheat,Soybean Seeds,Mango Leaf Disease,Bean Leaf Lesions,DeepWeeds,IP02,SBRD,Yellow Rust 19,FUSARIUM 22,InsectCount,PlantDoc
Model,,,,,,,,,,,
GPT-4o,93.27,36.6,65.21,96.66,51.3,24.86,51.9,16.67,17.5,10.89,20.68
LLaVA v1.6 34B,31.37,19.03,10.36,59.55,10.19,0.0,14.5,31.67,48.0,21.43,22.16
Claude-3.5-sonnet,78.02,54.06,43.75,90.15,21.81,,43.48,12.67,14.17,11.33,13.39
Gemini-flash-1.5,69.92,54.41,59.29,64.48,51.42,24.73,29.57,22.0,25.83,15.11,31.3
Claude-3-haiku,44.38,39.17,40.24,57.16,16.35,,9.52,30.0,25.0,32.0,28.93
Claude-3-sonnet,60.32,25.54,36.88,48.1,5.43,,23.35,26.11,,,
